source_id,relative_path,role,device,image_size,keywords,expected_mb,download_shard
r01a31693t,r01a31693t.NEF,development_early_stop,Nikon D7000,L (4928 x 3264),outdoor,19.0,9
r01a5f38at,r01a5f38at.NEF,external_pilot,Nikon D90,L (4288 x 2848),objects; outdoor,9.83,10
r01b3f004t,r01b3f004t.NEF,external_pilot,Nikon D7000,L (4928 x 3264),buildings; outdoor; people,21.5,6
r01b6aed6t,r01b6aed6t.NEF,independent_test,Nikon D90,L (4288 x 2848),objects; outdoor,11.7,6
r01c95f68t,r01c95f68t.NEF,development_fit,Nikon D90,L (4288 x 2848),landscape; outdoor,10.8,0
r01cbb7fdt,r01cbb7fdt.NEF,development_fit,Nikon D7000,L (4928 x 3264),nature; outdoor,17.7,18
r01cf60c7t,r01cf60c7t.NEF,independent_test,Nikon D90,L (4288 x 2848),buildings; outdoor,10.3,4
r01d0b83bt,r01d0b83bt.NEF,independent_test,Nikon D7000,L (4928 x 3264),outdoor; people,20.6,7
r01d9da09t,r01d9da09t.NEF,external_pilot,Nikon D7000,L (4928 x 3264),nature; outdoor,17.6,12
r01ef1b4at,r01ef1b4at.NEF,development_calibration,Nikon D7000,L (4928 x 3264),landscape; outdoor,20.9,10
r0200a7a6t,r0200a7a6t.NEF,external_pilot,Nikon D90,L (4288 x 2848),landscape; outdoor,12.0,2
r02059ab4t,r02059ab4t.NEF,independent_test,Nikon D90,L (4288 x 2848),Indoor; objects,9.39,11
r0207a52ct,r0207a52ct.NEF,independent_test,Nikon D90,L (4288 x 2848),buildings; outdoor; people,10.5,13
r021429abt,r021429abt.NEF,development_fit,Nikon D7000,L (4928 x 3264),landscape; outdoor,19.8,6
r02189767t,r02189767t.NEF,development_early_stop,Nikon D7000,L (4928 x 3264),outdoor,20.1,5
r02210c2at,r02210c2at.NEF,development_calibration,Nikon D7000,L (4928 x 3264),landscape; outdoor,20.4,17
r0225b88bt,r0225b88bt.NEF,development_fit,Nikon D7000,L (4928 x 3264),Indoor; people,17.3,15
r022af74ct,r022af74ct.NEF,development_calibration,Nikon D90,L (4288 x 2848),buildings; landscape; outdoor,10.2,12
r02354285t,r02354285t.NEF,independent_test,Nikon D7000,L (4928 x 3264),landscape; outdoor,20.7,6
r0249f733t,r0249f733t.NEF,development_fit,Nikon D7000,L (4928 x 3264),landscape; outdoor,19.8,8
r02508493t,r02508493t.NEF,development_fit,Nikon D7000,L (4928 x 3264),landscape; outdoor,20.7,19
r0250eb80t,r0250eb80t.NEF,development_calibration,Nikon D7000,L (4928 x 3264),Indoor; objects,19.5,6
r02513d19t,r02513d19t.NEF,development_calibration,Nikon D7000,L (4928 x 3264),nature; outdoor,23.1,1
r026b5360t,r026b5360t.NEF,independent_test,Nikon D90,L (4288 x 2848),landscape; outdoor,9.97,7
r026cedb7t,r026cedb7t.NEF,development_calibration,Nikon D7000,L (4928 x 3264),outdoor; people,19.7,12
r0279b17bt,r0279b17bt.NEF,development_fit,Nikon D90,L (4288 x 2848),Indoor,11.0,6
r027a692ft,r027a692ft.NEF,independent_test,Nikon D7000,L (4928 x 3264),nature; outdoor,23.3,3
r0281b52at,r0281b52at.NEF,development_fit,Nikon D7000,L (4928 x 3264),landscape; outdoor,22.7,18
r0282ca06t,r0282ca06t.NEF,independent_test,Nikon D90,L (4288 x 2848),landscape; outdoor,9.55,8
r0284aa1at,r0284aa1at.NEF,independent_test,Nikon D7000,L (4928 x 3264),buildings; outdoor,20.2,19
r0287344at,r0287344at.NEF,development_calibration,Nikon D7000,L (4928 x 3264),buildings; outdoor; people,21.4,15
r028896d3t,r028896d3t.NEF,external_pilot,Nikon D7000,L (4928 x 3264),Indoor; objects,17.6,18
r0288b58ct,r0288b58ct.NEF,development_fit,Nikon D7000,L (4928 x 3264),nature; outdoor,21.7,0
r02897203t,r02897203t.NEF,development_fit,Nikon D90,L (4288 x 2848),landscape; outdoor,10.2,11
r029afdb0t,r029afdb0t.NEF,development_fit,Nikon D7000,L (4928 x 3264),nature; outdoor,21.6,5
r02a0839et,r02a0839et.NEF,development_calibration,Nikon D7000,L (4928 x 3264),Indoor; buildings,18.0,13
r02a21f6ct,r02a21f6ct.NEF,development_calibration,Nikon D7000,L (4928 x 3264),buildings; objects; outdoor,19.0,1
r02b3a1ddt,r02b3a1ddt.NEF,development_fit,Nikon D7000,L (4928 x 3264),Indoor; objects,19.5,13
r02b7536at,r02b7536at.NEF,development_fit,Nikon D7000,L (4928 x 3264),landscape; outdoor,23.0,7
r02d732f8t,r02d732f8t.NEF,development_fit,Nikon D7000,L (4928 x 3264),buildings; landscape; outdoor; people,19.6,12
r02e1abe2t,r02e1abe2t.NEF,development_fit,Nikon D7000,L (4928 x 3264),Indoor; buildings,19.4,0
r02f1ba48t,r02f1ba48t.NEF,development_calibration,Nikon D7000,L (4928 x 3264),Indoor; objects,20.9,4
r02f5c155t,r02f5c155t.NEF,development_fit,Nikon D7000,L (4928 x 3264),buildings; landscape; outdoor,18.5,3
r02f9f53et,r02f9f53et.NEF,development_calibration,Nikon D7000,L (4928 x 3264),buildings; outdoor,20.6,8
r0314c3f9t,r0314c3f9t.NEF,development_early_stop,Nikon D90,L (4288 x 2848),objects; outdoor,11.1,10
r031917act,r031917act.NEF,development_early_stop,Nikon D90,L (4288 x 2848),outdoor,10.7,13
r03193652t,r03193652t.NEF,independent_test,Nikon D7000,L (4928 x 3264),nature; outdoor,18.4,14
r03389e9bt,r03389e9bt.NEF,development_fit,Nikon D7000,L (4928 x 3264),Indoor,17.9,8
r033bb79dt,r033bb79dt.NEF,development_fit,Nikon D90,L (4288 x 2848),outdoor,9.45,7
r033daaa0t,r033daaa0t.NEF,development_fit,Nikon D7000,L (4928 x 3264),landscape; outdoor,19.1,18
r0341853dt,r0341853dt.NEF,development_fit,Nikon D7000,L (4928 x 3264),landscape; outdoor,21.0,18
r0342f22ct,r0342f22ct.NEF,independent_test,Nikon D90,L (4288 x 2848),Indoor,10.1,1
r0355b2d5t,r0355b2d5t.NEF,development_calibration,Nikon D40,L (3008 x 2000),Indoor,5.38,0
r0356ea60t,r0356ea60t.NEF,development_early_stop,Nikon D7000,L (4928 x 3264),outdoor,21.9,8
r035ef2c2t,r035ef2c2t.NEF,development_fit,Nikon D90,L (4288 x 2848),buildings; landscape; outdoor,10.4,10
r03640e97t,r03640e97t.NEF,development_calibration,Nikon D90,L (4288 x 2848),outdoor,11.3,11
r036e2a9at,r036e2a9at.NEF,independent_test,Nikon D90,L (4288 x 2848),landscape; outdoor,10.5,14
r0372042dt,r0372042dt.NEF,development_fit,Nikon D90,L (4288 x 2848),Indoor; objects,9.65,19
r037a250ft,r037a250ft.NEF,independent_test,Nikon D7000,L (4928 x 3264),nature; outdoor,18.5,16
r0383e9c3t,r0383e9c3t.NEF,independent_test,Nikon D7000,L (4928 x 3264),Indoor; buildings; people,18.8,15
r038422cft,r038422cft.NEF,independent_test,Nikon D7000,L (4928 x 3264),landscape; outdoor,21.6,8
r038922cbt,r038922cbt.NEF,development_early_stop,Nikon D7000,L (4928 x 3264),objects; outdoor,17.8,14
r03995a8ct,r03995a8ct.NEF,independent_test,Nikon D7000,L (4928 x 3264),outdoor; people,19.0,12
r039a5ef5t,r039a5ef5t.NEF,development_early_stop,Nikon D7000,L (4928 x 3264),buildings; outdoor,19.4,17
r039a851bt,r039a851bt.NEF,development_fit,Nikon D7000,L (4928 x 3264),buildings; outdoor,21.0,0
r03aa5df1t,r03aa5df1t.NEF,development_fit,Nikon D7000,L (4928 x 3264),buildings; outdoor,19.1,9
r03b0c944t,r03b0c944t.NEF,development_early_stop,Nikon D7000,L (4928 x 3264),nature; outdoor,22.2,11
r03bf5648t,r03bf5648t.NEF,development_fit,Nikon D7000,L (4928 x 3264),landscape; outdoor,19.8,5
r03c8ddcft,r03c8ddcft.NEF,independent_test,Nikon D7000,L (4928 x 3264),nature; outdoor,19.4,9
r03cef811t,r03cef811t.NEF,development_early_stop,Nikon D7000,L (4928 x 3264),Indoor; objects,18.6,15
r03d2a758t,r03d2a758t.NEF,development_early_stop,Nikon D7000,L (4928 x 3264),Indoor,19.4,5
r03ed2669t,r03ed2669t.NEF,development_fit,Nikon D90,L (4288 x 2848),buildings; outdoor,10.7,4
r03f41fdct,r03f41fdct.NEF,development_early_stop,Nikon D7000,L (4928 x 3264),landscape; outdoor,21.1,18
r03f70ccdt,r03f70ccdt.NEF,development_fit,Nikon D90,L (4288 x 2848),outdoor; people,9.12,10
r0408fe9ft,r0408fe9ft.NEF,development_fit,Nikon D7000,L (4928 x 3264),buildings; outdoor,19.9,13
r040b3002t,r040b3002t.NEF,development_fit,Nikon D7000,L (4928 x 3264),nature; outdoor,20.1,19
r040bf4a5t,r040bf4a5t.NEF,development_calibration,Nikon D90,L (4288 x 2848),Indoor; objects,10.8,18
r04108c64t,r04108c64t.NEF,development_fit,Nikon D90,L (4288 x 2848),outdoor; people,11.6,17
r04160d64t,r04160d64t.NEF,development_fit,Nikon D7000,L (4928 x 3264),buildings; outdoor,21.4,1
r04172edct,r04172edct.NEF,development_fit,Nikon D7000,L (4928 x 3264),landscape; outdoor,21.9,8
r0417f5e3t,r0417f5e3t.NEF,development_fit,Nikon D7000,L (4928 x 3264),buildings; outdoor,18.4,14
r041c02cat,r041c02cat.NEF,development_fit,Nikon D7000,L (4928 x 3264),landscape; outdoor,19.4,5
r0428df0ct,r0428df0ct.NEF,development_fit,Nikon D90,L (4288 x 2848),Indoor; people,10.4,5
r042d5308t,r042d5308t.NEF,development_fit,Nikon D7000,L (4928 x 3264),objects; outdoor,21.0,14
r042d7b17t,r042d7b17t.NEF,development_early_stop,Nikon D7000,L (4928 x 3264),landscape; outdoor; people,19.2,19
r04317453t,r04317453t.NEF,development_fit,Nikon D90,L (4288 x 2848),outdoor,10.1,3
r0438eb97t,r0438eb97t.NEF,independent_test,Nikon D7000,L (4928 x 3264),buildings; outdoor; people,18.1,16
r043951a3t,r043951a3t.NEF,development_early_stop,Nikon D7000,L (4928 x 3264),Indoor; buildings; people,20.7,13
r04395e54t,r04395e54t.NEF,development_calibration,Nikon D90,L (4288 x 2848),Indoor,11.8,13
r0450c4c0t,r0450c4c0t.NEF,development_calibration,Nikon D90,L (4288 x 2848),outdoor; people,10.2,14
r045be2act,r045be2act.NEF,development_calibration,Nikon D7000,L (4928 x 3264),buildings; outdoor,18.3,6
r0465565ct,r0465565ct.NEF,development_fit,Nikon D7000,L (4928 x 3264),landscape; outdoor,21.6,13
r046852c1t,r046852c1t.NEF,development_fit,Nikon D7000,L (4928 x 3264),landscape; outdoor,19.7,7
r047aa954t,r047aa954t.NEF,independent_test,Nikon D7000,L (4928 x 3264),objects; outdoor; people,19.9,0
r04851bf9t,r04851bf9t.NEF,development_early_stop,Nikon D7000,L (4928 x 3264),Indoor,19.2,1
r0487f5cet,r0487f5cet.NEF,development_fit,Nikon D7000,L (4928 x 3264),landscape; outdoor,20.8,9
r048c50d0t,r048c50d0t.NEF,development_fit,Nikon D90,L (4288 x 2848),buildings; outdoor,10.4,6
r04989a70t,r04989a70t.NEF,independent_test,Nikon D7000,L (4928 x 3264),nature; outdoor,21.0,6
r049f471dt,r049f471dt.NEF,development_fit,Nikon D7000,L (4928 x 3264),buildings; outdoor,20.4,4
r04a210b3t,r04a210b3t.NEF,development_early_stop,Nikon D90,L (4288 x 2848),outdoor; people,10.7,2
r04aceb4et,r04aceb4et.NEF,development_fit,Nikon D90,L (4288 x 2848),buildings; outdoor,11.5,12
r04b4d5aft,r04b4d5aft.NEF,external_pilot,Nikon D7000,L (4928 x 3264),buildings; landscape; outdoor,22.4,4
r04b8473dt,r04b8473dt.NEF,development_fit,Nikon D90,L (4288 x 2848),Indoor,10.5,8
r04c11390t,r04c11390t.NEF,development_fit,Nikon D7000,L (4928 x 3264),landscape; outdoor,21.2,0
r04c566a0t,r04c566a0t.NEF,development_early_stop,Nikon D7000,L (4928 x 3264),nature; outdoor,20.8,0
r04cfa379t,r04cfa379t.NEF,development_fit,Nikon D7000,L (4928 x 3264),buildings; outdoor; people,17.9,3
r04e19833t,r04e19833t.NEF,development_fit,Nikon D7000,L (4928 x 3264),landscape; outdoor,18.1,15
r04e7644dt,r04e7644dt.NEF,development_fit,Nikon D90,L (4288 x 2848),objects; outdoor,10.3,10
r04e818bat,r04e818bat.NEF,development_fit,Nikon D90,L (4288 x 2848),landscape; outdoor,10.7,0
r04eb0d0ft,r04eb0d0ft.NEF,development_fit,Nikon D7000,L (4928 x 3264),landscape; outdoor,21.4,14
r04eda41ct,r04eda41ct.NEF,external_pilot,Nikon D7000,L (4928 x 3264),outdoor,22.2,10
r050e1024t,r050e1024t.NEF,development_early_stop,Nikon D90,L (4288 x 2848),buildings; outdoor,10.5,19
r0515a051t,r0515a051t.NEF,development_fit,Nikon D7000,L (4928 x 3264),landscape; outdoor,21.5,12
r0518cf5dt,r0518cf5dt.NEF,development_fit,Nikon D7000,L (4928 x 3264),Indoor,17.7,8
r05243256t,r05243256t.NEF,development_fit,Nikon D90,L (4288 x 2848),Indoor,11.1,18
r0527f7e6t,r0527f7e6t.NEF,development_fit,Nikon D7000,L (4928 x 3264),outdoor,19.8,10
r052df821t,r052df821t.NEF,development_fit,Nikon D7000,L (4928 x 3264),objects; outdoor,20.5,10
r052e9174t,r052e9174t.NEF,independent_test,Nikon D7000,L (4928 x 3264),buildings; landscape; outdoor,20.5,11
r053d2196t,r053d2196t.NEF,development_fit,Nikon D90,L (4288 x 2848),outdoor; people,10.3,4
r05647b9at,r05647b9at.NEF,development_fit,Nikon D7000,L (4928 x 3264),buildings; landscape; outdoor,19.2,19
r056c0ee6t,r056c0ee6t.NEF,development_fit,Nikon D7000,L (4928 x 3264),landscape; outdoor,19.4,15
r056d6bebt,r056d6bebt.NEF,development_fit,Nikon D7000,L (4928 x 3264),landscape; outdoor,19.6,12
r056daad2t,r056daad2t.NEF,development_fit,Nikon D7000,L (4928 x 3264),landscape; outdoor,19.5,18
r056f233bt,r056f233bt.NEF,development_fit,Nikon D90,L (4288 x 2848),buildings; landscape; outdoor,9.36,3
r05718fd6t,r05718fd6t.NEF,development_calibration,Nikon D7000,L (4928 x 3264),buildings; landscape; outdoor,20.0,16
r057282fet,r057282fet.NEF,development_fit,Nikon D7000,L (4928 x 3264),Indoor; objects,19.7,3
r05772356t,r05772356t.NEF,development_fit,Nikon D90,L (4288 x 2848),buildings; outdoor; people,11.9,11
r05839451t,r05839451t.NEF,development_early_stop,Nikon D7000,L (4928 x 3264),landscape; outdoor,20.2,13
r0589558at,r0589558at.NEF,development_fit,Nikon D7000,L (4928 x 3264),Indoor; buildings,18.8,3
r059cae86t,r059cae86t.NEF,development_fit,Nikon D90,L (4288 x 2848),outdoor,9.67,18
r059ce7d0t,r059ce7d0t.NEF,development_early_stop,Nikon D7000,L (4928 x 3264),Indoor; objects,19.5,18
r05a7750et,r05a7750et.NEF,external_pilot,Nikon D7000,L (4928 x 3264),buildings; outdoor,20.5,0
r05ac4560t,r05ac4560t.NEF,independent_test,Nikon D90,L (4288 x 2848),buildings; outdoor,10.9,0
r05bf2f53t,r05bf2f53t.NEF,development_early_stop,Nikon D90,L (4288 x 2848),Indoor,11.0,8
r05d35656t,r05d35656t.NEF,independent_test,Nikon D7000,L (4928 x 3264),landscape; outdoor,21.5,9
r05d59d7ct,r05d59d7ct.NEF,development_fit,Nikon D7000,L (4928 x 3264),nature; outdoor,20.2,2
r05d9d749t,r05d9d749t.NEF,development_fit,Nikon D40,L (3008 x 2000),Indoor; people,5.53,18
r05db7e7ft,r05db7e7ft.NEF,development_calibration,Nikon D7000,L (4928 x 3264),landscape; outdoor,20.6,16
r05f3bc6ct,r05f3bc6ct.NEF,development_fit,Nikon D90,L (4288 x 2848),Indoor; buildings; people,10.4,10
r05f3f6a5t,r05f3f6a5t.NEF,development_early_stop,Nikon D90,L (4288 x 2848),outdoor,10.2,12
r05f66e6dt,r05f66e6dt.NEF,independent_test,Nikon D7000,L (4928 x 3264),landscape; outdoor,22.0,15
r0603031et,r0603031et.NEF,development_fit,Nikon D7000,L (4928 x 3264),Indoor; objects,19.9,14
r061433aft,r061433aft.NEF,development_fit,Nikon D7000,L (4928 x 3264),buildings; outdoor,20.9,8
r061db45ft,r061db45ft.NEF,external_pilot,Nikon D7000,L (4928 x 3264),landscape; outdoor,20.1,13
r061e2ecft,r061e2ecft.NEF,independent_test,Nikon D90,L (4288 x 2848),outdoor; people,10.3,13
r062b9259t,r062b9259t.NEF,development_fit,Nikon D7000,L (4928 x 3264),landscape; outdoor,21.6,17
r062cab38t,r062cab38t.NEF,development_fit,Nikon D90,L (4288 x 2848),nature; outdoor,9.67,13
r063d8a61t,r063d8a61t.NEF,development_fit,Nikon D7000,L (4928 x 3264),Indoor; objects,20.0,17
r0648cff8t,r0648cff8t.NEF,development_fit,Nikon D7000,L (4928 x 3264),buildings; outdoor,20.5,13
r065472d8t,r065472d8t.NEF,development_fit,Nikon D7000,L (4928 x 3264),buildings; landscape; outdoor,19.7,3
r065a0da9t,r065a0da9t.NEF,development_calibration,Nikon D90,L (4288 x 2848),landscape; outdoor,12.0,15
r066358d3t,r066358d3t.NEF,development_fit,Nikon D7000,L (4928 x 3264),buildings; outdoor,19.3,19
r0667a51ft,r0667a51ft.NEF,independent_test,Nikon D90,L (4288 x 2848),Indoor; objects,10.8,14
r06691aa5t,r06691aa5t.NEF,development_fit,Nikon D7000,L (4928 x 3264),nature; outdoor,18.0,7
r066b256at,r066b256at.NEF,development_fit,Nikon D90,L (4288 x 2848),outdoor; people,10.1,16
r066ef803t,r066ef803t.NEF,development_fit,Nikon D7000,L (4928 x 3264),nature; outdoor,18.0,9
r0670f47ft,r0670f47ft.NEF,development_fit,Nikon D90,L (4288 x 2848),Indoor,10.6,12
r06743f8ft,r06743f8ft.NEF,development_fit,Nikon D7000,L (4928 x 3264),Indoor; objects,17.4,13
r0676c50at,r0676c50at.NEF,development_calibration,Nikon D7000,L (4928 x 3264),buildings; outdoor,19.3,14
r06836fdat,r06836fdat.NEF,development_early_stop,Nikon D7000,L (4928 x 3264),landscape; outdoor,20.5,15
r068812d7t,r068812d7t.NEF,development_fit,Nikon D7000,L (4928 x 3264),landscape; outdoor,18.9,4
r06888d38t,r06888d38t.NEF,development_fit,Nikon D7000,L (4928 x 3264),buildings; outdoor,21.0,4
r069e346et,r069e346et.NEF,development_fit,Nikon D7000,L (4928 x 3264),nature; outdoor,18.9,19
r06a52b7bt,r06a52b7bt.NEF,development_fit,Nikon D7000,L (4928 x 3264),nature; outdoor,18.6,15
r06aa7dabt,r06aa7dabt.NEF,development_fit,Nikon D7000,L (4928 x 3264),nature; outdoor,21.7,17
r06b161adt,r06b161adt.NEF,development_fit,Nikon D7000,L (4928 x 3264),nature; outdoor,22.3,11
r06b7849at,r06b7849at.NEF,development_fit,Nikon D7000,L (4928 x 3264),landscape; outdoor,20.7,13
r06bfc92at,r06bfc92at.NEF,development_early_stop,Nikon D7000,L (4928 x 3264),landscape; outdoor,20.7,18
r06c4bcb9t,r06c4bcb9t.NEF,development_calibration,Nikon D7000,L (4928 x 3264),nature; outdoor,21.9,16
r06cad2d6t,r06cad2d6t.NEF,development_fit,Nikon D7000,L (4928 x 3264),nature; outdoor,20.9,12
r06d3ac60t,r06d3ac60t.NEF,development_fit,Nikon D7000,L (4928 x 3264),Indoor; objects,19.9,6
r06e1a520t,r06e1a520t.NEF,independent_test,Nikon D90,L (4288 x 2848),outdoor,11.1,11
r0701ca45t,r0701ca45t.NEF,development_fit,Nikon D7000,L (4928 x 3264),landscape; outdoor,20.6,10
r0703243bt,r0703243bt.NEF,development_fit,Nikon D7000,L (4928 x 3264),nature; outdoor,22.3,4
r0708431at,r0708431at.NEF,independent_test,Nikon D7000,L (4928 x 3264),Indoor; buildings,19.9,1
r070a874ct,r070a874ct.NEF,development_fit,Nikon D90,L (4288 x 2848),outdoor,11.1,3
r072421a1t,r072421a1t.NEF,development_fit,Nikon D7000,L (4928 x 3264),nature; outdoor,17.5,9
r072649fdt,r072649fdt.NEF,development_early_stop,Nikon D90,L (4288 x 2848),outdoor; people,10.9,18
r072d955bt,r072d955bt.NEF,development_calibration,Nikon D7000,L (4928 x 3264),buildings; outdoor; people,18.7,10
r0744a10et,r0744a10et.NEF,development_early_stop,Nikon D7000,L (4928 x 3264),buildings; outdoor; people,19.1,3
r07598392t,r07598392t.NEF,development_fit,Nikon D7000,L (4928 x 3264),Indoor; objects,19.7,9
r075baf3ct,r075baf3ct.NEF,independent_test,Nikon D7000,L (4928 x 3264),landscape; outdoor,20.0,0
r0773471dt,r0773471dt.NEF,development_fit,Nikon D7000,L (4928 x 3264),nature; objects; outdoor,20.4,1
r077507cat,r077507cat.NEF,development_calibration,Nikon D90,L (4288 x 2848),buildings; outdoor; people,10.6,10
r0777fea4t,r0777fea4t.NEF,development_fit,Nikon D7000,L (4928 x 3264),nature; outdoor,22.5,1
r079d086et,r079d086et.NEF,development_calibration,Nikon D90,L (4288 x 2848),landscape; outdoor,11.3,19
r07b99141t,r07b99141t.NEF,development_fit,Nikon D7000,L (4928 x 3264),nature; outdoor,17.6,3
r07c47354t,r07c47354t.NEF,development_fit,Nikon D7000,L (4928 x 3264),objects; outdoor,19.5,18
r07c51648t,r07c51648t.NEF,development_fit,Nikon D90,L (4288 x 2848),buildings; outdoor,10.4,9
r07cf907dt,r07cf907dt.NEF,development_fit,Nikon D7000,L (4928 x 3264),buildings; outdoor,19.8,2
r07cfb432t,r07cfb432t.NEF,development_fit,Nikon D7000,L (4928 x 3264),nature; outdoor,17.9,13
r07d13149t,r07d13149t.NEF,development_fit,Nikon D7000,L (4928 x 3264),landscape; outdoor,19.8,14
r07d5eb94t,r07d5eb94t.NEF,independent_test,Nikon D7000,L (4928 x 3264),buildings; outdoor,21.6,9
r07db8a54t,r07db8a54t.NEF,independent_test,Nikon D7000,L (4928 x 3264),nature; outdoor,18.7,3
r07dba73ft,r07dba73ft.NEF,development_fit,Nikon D90,L (4288 x 2848),buildings; outdoor,9.77,17
r07df029bt,r07df029bt.NEF,development_fit,Nikon D7000,L (4928 x 3264),buildings; outdoor; people,18.6,1
r07e1e8cbt,r07e1e8cbt.NEF,external_pilot,Nikon D7000,L (4928 x 3264),buildings; outdoor,17.8,1
r07e242b7t,r07e242b7t.NEF,development_calibration,Nikon D7000,L (4928 x 3264),Indoor; buildings,20.3,16
r07e35007t,r07e35007t.NEF,development_fit,Nikon D7000,L (4928 x 3264),Indoor; objects,20.1,6
r07e594d6t,r07e594d6t.NEF,development_early_stop,Nikon D90,L (4288 x 2848),Indoor; objects,11.0,13
r07ece355t,r07ece355t.NEF,development_fit,Nikon D7000,L (4928 x 3264),landscape; outdoor,19.8,1
r07f22efdt,r07f22efdt.NEF,development_calibration,Nikon D7000,L (4928 x 3264),landscape; outdoor,19.4,1
