observation_id,source_id,chain_id,partition,compact_byte_count,compact_sha256,shard_index
0809_j75_b16_n2,0809,j75_b16_n2,fit,4185456,188020e9b5a577906875d4df83b253b4754d6d83de786e391a5fda8116932c52,0
0809_j75_b16_n5,0809,j75_b16_n5,fit,4317088,259ed984d71123da429f70181b3a986965db822588325d3a610aa572de5b54c6,0
0809_j75_b20_n2,0809,j75_b20_n2,fit,4148089,f3e8d7366949dff9b469be07a9038b61057df557cb2025d129b497a4275f21a6,0
0809_j90_b16_n2,0809,j90_b16_n2,fit,4255421,8f1ca745efc5f4bb175c8e2f4acf45659e8bcfa5f9aafab4599987a67ac69d46,0
0809_q8_b16_n2,0809,q8_b16_n2,fit,4410865,4be7d98c813137aabc7293c21d3b6f788be38af9597d24dedd880e11593eaeed,0
0810_j50_b16_n2,0810,j50_b16_n2,fit,4181912,ef6cb9b636bf49fadff41265fc4fac2af7b71a811eb74e28ae50d289c08d1fba,0
0810_j75_b12_n2,0810,j75_b12_n2,fit,4319759,4c5d4709cb2a9281c75613ab7be135579ded1ee55f061cf8fac2835b94c4b65c,0
0810_j75_b16_n2,0810,j75_b16_n2,fit,4262836,0ca50ce06f40c579ce4e36d92ebd23a428c8122a676b61f807c0c832c1040a1d,0
0810_j75_b16_n5,0810,j75_b16_n5,fit,4360925,799db733178d0235645d735af5ae0e4b46cac9d22119843d5354f666848220ed,0
0810_j75_b20_n2,0810,j75_b20_n2,fit,4206073,e83503f53d6ed47fafcc156c465686fbc31df7c7a1a6e0eee8e73f62417a7111,0
0810_j90_b16_n2,0810,j90_b16_n2,fit,4309270,fecad56248e5bb51bbe49119afa45e5a467f544f70582588d4005d37629b55d7,0
0810_q8_b16_n2,0810,q8_b16_n2,fit,4433268,93042bb41cd75cf3f0af107c5c242516724315bcb4577f21f6b2ec973b252c62,0
0811_j50_b16_n2,0811,j50_b16_n2,fit,4077148,5d50a7fdb6be40f19a3d1fd0eae659de389ebd1688235a501ec1392c0658acc0,0
0811_j75_b12_n2,0811,j75_b12_n2,fit,4182810,fbced7a00ff69bc72605852bb64d0334f4d1cfc1ce11d9f2c265ac389c96d26d,0
0811_j75_b16_n2,0811,j75_b16_n2,fit,4140009,a2b1dfb170a4d89f91bad499a6262f34ae1af6016166c8fa891882b42d3fb166,0
0811_j75_b16_n5,0811,j75_b16_n5,fit,4264412,8869283222073474faf8b290841dd11696f3475ebbbb0e5b37f584d88c547ea7,0
0811_j75_b20_n2,0811,j75_b20_n2,fit,4099475,6c2eeceab8cefa1fa146a1fafab59c503e0b151549c545c7e685338b4ddb9724,0
0811_j90_b16_n2,0811,j90_b16_n2,fit,4189782,684c593c4dfed538e01b5eabf750f275aac7d62714476681fe254f5490986d27,0
0811_q8_b16_n2,0811,q8_b16_n2,fit,4333405,2eb960c242d3c033d0f6f625dc74830c9e69a60c0aee4ebf51bbea984851f392,0
0812_j50_b16_n2,0812,j50_b16_n2,fit,3906181,f32c85576d5b0805d5bc0fd489fe000b62013daf59d752f2735944b56ac1a4d1,0
0812_j75_b12_n2,0812,j75_b12_n2,fit,4056417,88712cf42cf4cc5e041b8086e8cd958b46efb686b2520c57b4991616c8874eeb,0
0812_j75_b16_n2,0812,j75_b16_n2,fit,4015844,f5a398a36684ec78ae5b7b9fba95facf05f96ae5dcae163224d5649f13f06bd8,0
0812_j75_b16_n5,0812,j75_b16_n5,fit,4265763,d3dac601638b3d11a491a1bb5eb079ff6233eaca9fb53dd7fcd08f00cfbda11e,0
0812_j75_b20_n2,0812,j75_b20_n2,fit,3981686,64bd693b51d0d03355ad06c84bfda7e3e2705e166b16a8166780b55658e11cd8,0
0812_j90_b16_n2,0812,j90_b16_n2,fit,4149337,acbb9add306b4574a293a9857b8db9667baf99309f3d82b34ee339307b6c7bde,0
0812_q8_b16_n2,0812,q8_b16_n2,fit,4397648,9b82242768207e099dedc9d550b0c58c30e979a719ff2bd528175ad90140c5e4,0
0813_j50_b16_n2,0813,j50_b16_n2,fit,4162637,9be9ac4762daeb7c2c8987ec3806587b006d84316b2191d9d02871ff458f02c7,1
0813_j75_b12_n2,0813,j75_b12_n2,fit,4264631,98735f315cf4ee3664043ae92d04cba6583138b1960a6456a4b35d2514368923,1
0813_j75_b16_n2,0813,j75_b16_n2,fit,4234884,f1c19839e663fc0d0d02dc61104f0f0476f78065bf08e99ccf3ca103c3dac70a,1
0813_j75_b16_n5,0813,j75_b16_n5,fit,4388841,de6c548fb0ca6015358117e4bd4d8a5dbd2b79918bb08652154057084ecf6e5c,1
0813_j75_b20_n2,0813,j75_b20_n2,fit,4209659,cc70d03c9eff019ea7a3f9147d9895cc8d97686940b36a19aed410a50d2ad9da,1
0813_j90_b16_n2,0813,j90_b16_n2,fit,4318925,bfd32ad5a534cfe0267c4f810c650388b138f6a35152f8b76e7e4f4b4323328a,1
0813_q8_b16_n2,0813,q8_b16_n2,fit,4471671,a5376eefa3d25eec79289472d20fee805c92e5b3786ae683ce4ac99763f9bfe6,1
0814_j50_b16_n2,0814,j50_b16_n2,fit,3760497,2f57537c597d8fe95fc112576bc94251a086ca831d8d17b4ff66222d09c47862,1
0814_j75_b12_n2,0814,j75_b12_n2,fit,3811029,117e3c24963db474bbf18bb6c93374a119ee635ac8c2b32f536c4450b0fe97ef,1
0814_j75_b16_n2,0814,j75_b16_n2,fit,3795520,57dfdf6fa578677ab3c53f4574c527de0c179fde8bbad6bae8e58e95d5299815,1
0814_j75_b16_n5,0814,j75_b16_n5,fit,4109169,26ac8dae24457e77da5208bf80ce6250a5fcf69dd99b396e464e9154026cefd0,1
0814_j75_b20_n2,0814,j75_b20_n2,fit,3780312,2cd90be3d4909b328b91af7b51510ce16404f4e17cc0218b083bd1f973a74294,1
0814_j90_b16_n2,0814,j90_b16_n2,fit,3918484,abd3c441c9c9527546776ed619a555ed932d2dee4c8cf1f0715ac3aaa45a8d13,1
0814_q8_b16_n2,0814,q8_b16_n2,fit,4125301,0840792076b7b8f8aa1752872e92d17c2c6626951a4c9d8442ff8fd32198cc0b,1
0815_j50_b16_n2,0815,j50_b16_n2,fit,4121416,dc1559f5796e8be4f8dea9de42eba58323fb3d8b7ea873201bf9760d8e6eba77,1
0815_j75_b12_n2,0815,j75_b12_n2,fit,4233482,d2985c9196a6e1846d44c289926ff923dcf123102c31c53f35cb1cc49fbe8d2e,1
0815_j75_b16_n2,0815,j75_b16_n2,fit,4199318,79a33e27d82a04469e2258251281b6935a950ff9f76f0e8d5f0af8ba1ce9cedb,1
0815_j75_b16_n5,0815,j75_b16_n5,fit,4320776,4efe44fc1e4344555cb2491f0a78c21d214d379a7465fdfa0e380b343a132a4d,1
0815_j75_b20_n2,0815,j75_b20_n2,fit,4168147,65d8e62ec13907dc7fbb935d48d9563a8567244da06e05ab34f695b92214e17b,1
0815_j90_b16_n2,0815,j90_b16_n2,fit,4256977,8e15ccfadc40f7e460b3a2b9673c768b80a1960ad57e7138a62bdab29424d901,1
0815_q8_b16_n2,0815,q8_b16_n2,fit,4401209,419e2fd48d6313fff2ee3803498f3019b42359bf87477016b9a214c5ab70bea9,1
0816_j50_b16_n2,0816,j50_b16_n2,fit,3909243,9571071b186e97b6ac43cb77efde832c90fc878733bd9952b8f74c51858767d7,1
0816_j75_b12_n2,0816,j75_b12_n2,fit,4068900,7992b8cf13174d70bdddf65c0cb8ab1f67a92e05f636fc9efe35fef77e13dff4,1
0816_j75_b16_n2,0816,j75_b16_n2,fit,4022345,5a5fef8e2b42baf0a016b0b2c16fedaa26bc34ffbd1b3f3e1b4cf6e11b40a4b8,1
0816_j75_b16_n5,0816,j75_b16_n5,fit,4192297,bb3ac1a5d9fd1090771230237c174b6e220f4e5204b8324789fe9d29c94eec86,1
0816_j75_b20_n2,0816,j75_b20_n2,fit,3978254,367d03ecccdc50460c35076faee8a0af8e3605ae0f2369fe54d3ff6c4d0d383d,1
0816_j90_b16_n2,0816,j90_b16_n2,fit,4110018,aac63440f62257e2eb1e44db5b6ef270da771378d6a9a66b3d305f5d52296c0a,1
0816_q8_b16_n2,0816,q8_b16_n2,fit,4298356,701d7b521be11af099820810355b98f37b14f54198cee29e05fba53c476d4f08,1
0817_j50_b16_n2,0817,j50_b16_n2,fit,4292620,660a8c50579aaa1d1c87656513402a27a7f67aa05d28db0a736855a061246c58,1
0817_j75_b12_n2,0817,j75_b12_n2,fit,4349896,1128dfdbb01eaf3b984da6134f4dff605987218c77602c7448140e4302f9c93d,1
0817_j75_b16_n2,0817,j75_b16_n2,fit,4331066,6fbf5b173cb72cecaf0d3d389e655555a0d993d0aa8c1fbb7fc212a269af691a,1
0817_j75_b16_n5,0817,j75_b16_n5,fit,4426582,b05f8885961ae5bf5ff52dbedc1d2dae1c23394b7df48acc3d204fa3c8d5be94,1
0817_j75_b20_n2,0817,j75_b20_n2,fit,4314946,4db5c83eef94ac49ed20fa0f4ac0076e4361913c07303476ac0fc269240ba426,1
0817_j90_b16_n2,0817,j90_b16_n2,fit,4369682,59e9646de7c1ab6ea0e5c4d9acd395037b4b4eb80242414ce0ba54ce0dc9284b,1
0817_q8_b16_n2,0817,q8_b16_n2,fit,4466093,8c129e0ab010305d72f38faf6f11583cfe12c663968018f41db8af24c96f7420,1
0818_j50_b16_n2,0818,j50_b16_n2,fit,4126942,cfbbb464fc69d618dd7f25014eb02d4189a75651742bee9aa9d2bfc11a155889,1
0818_j75_b12_n2,0818,j75_b12_n2,fit,4196902,31fed9ed8122b1440a7a4e4c9956fe4744f2fcb25dc26219182edb07d8a943ce,1
0818_j75_b16_n2,0818,j75_b16_n2,fit,4177920,97aefff812ccb056ba782ead56d32ff198e2ac156f766b62e5a3c21a9005f641,1
0818_j75_b16_n5,0818,j75_b16_n5,fit,4285159,3639a5f4d00dea1e6282ebe75223b6237f7f7ba6ea5bcf632330826aef36a524,1
0818_j75_b20_n2,0818,j75_b20_n2,fit,4159133,0dee8e7e47c1c84e5ede416efd5d399725df47e6245a636d312fb6ed3544633c,1
0818_j90_b16_n2,0818,j90_b16_n2,fit,4241035,3db4d8d1a26cee82cd07e0f31ad94bf2b21a39d4ef0e14bcfce219ab627d49b6,1
0818_q8_b16_n2,0818,q8_b16_n2,fit,4363175,dd6384bbb117b0440e3e35d9144b2974ad64cde9b069fa09f01a85c326c60875,1
0819_j50_b16_n2,0819,j50_b16_n2,fit,4200644,51aea70bfe397698cfb26654a4639b588fb7eb763868d713d1500c67548f19ef,1
0819_j75_b12_n2,0819,j75_b12_n2,fit,4303405,f13305ab394958fcabad48a408f21c332e9009081e188c1ed3e3fc64f1c89afb,1
0819_j75_b16_n2,0819,j75_b16_n2,fit,4272459,5586b38f69d40b4f5a7baa8e59fe20b6599477250e4c0523400a74d7c617f293,1
0819_j75_b16_n5,0819,j75_b16_n5,fit,4383282,cf1c7a2ec0e01ffbce9b7f4e67877d65a4d35e4136e841fe4e260af51ab0bbbe,1
0819_j75_b20_n2,0819,j75_b20_n2,fit,4242041,a287591cfdfd666011a8a9fabe44757d45ebce30582f92f1c53efa049cfd0191,1
0819_j90_b16_n2,0819,j90_b16_n2,fit,4329744,82d4654af687d2adbc0e48b155c2b4d1a14164ee0f55f9b6a9937a0487dbdebe,1
0819_q8_b16_n2,0819,q8_b16_n2,fit,4450120,61ee1ba98a2d050a9d7cf4c1a012f6b27b675c72c13d273b8eff8172935b6053,1
0820_j50_b16_n2,0820,j50_b16_n2,fit,3923348,5095ef95abb7b59276fb9866e6207a4c0c85bbea0ca0a239e82e5e7db1311ef0,1
0820_j75_b12_n2,0820,j75_b12_n2,fit,4034062,0c6eef4aca9603fbe6416f11f854da56446a07df91b526f8981b1d8f7cfcf1cf,1
0820_j75_b16_n2,0820,j75_b16_n2,fit,4003445,b35a93fe1a72060aa8398e655b28209b17c892bceb13a33d7f0da164723684bd,1
0820_j75_b16_n5,0820,j75_b16_n5,fit,4188682,b0ffc80a43f8af7e7c975ee84ada3ef31397bffe262b1e3217921e1fbb8ef2a8,1
0820_j75_b20_n2,0820,j75_b20_n2,fit,3976914,81ed379e948b7674acd0ba07fc61efb2cafea9f56abd9b29faf7d6d3169f2a25,1
0820_j90_b16_n2,0820,j90_b16_n2,fit,4098767,82105d17d43e3be47cee99be24031757dfc66cad9cacedd9e5fed8e16dc5058a,1
0820_q8_b16_n2,0820,q8_b16_n2,fit,4292497,512139bd426c5fc4a3e459b27925573424fb40b7e6a4989186c233d34b66a53f,1
0821_j50_b16_n2,0821,j50_b16_n2,fit,4219628,097c394ed077fd8f5d55feb69441fb6184aea0747228f774f3761372c67cdb06,2
0821_j75_b12_n2,0821,j75_b12_n2,fit,4286993,1c25bc59b5bd4ff23a1cf87b2f18d67614ac879ed667913df0e9f8124fc9544f,2
0821_j75_b16_n2,0821,j75_b16_n2,fit,4271454,bbbbf271f61cf65f5df25a0a971518f85414779f16edf2e073a8df10cb0b6837,2
0821_j75_b16_n5,0821,j75_b16_n5,fit,4408527,0e8d954f3619b6d5898981a650f79c8a0f5dcf68207b2a686429cfa51d1802eb,2
0821_j75_b20_n2,0821,j75_b20_n2,fit,4260410,9102b88bb9ee7a220ddf1f98a1bb4324ffecef64d9bf11f4ba2844561b1ac70c,2
0821_j90_b16_n2,0821,j90_b16_n2,fit,4330085,7602541b8e22f91674fa97a1d260b7a56621df6f21de51d33dd02b135da92975,2
0821_q8_b16_n2,0821,q8_b16_n2,fit,4482295,7d61fea4be0fac2a5d7debb54d807c45e4e8f2b756cb80ced4a01e55e4d143d5,2
0822_j50_b16_n2,0822,j50_b16_n2,fit,4281920,83282d49761dbb3ceda342222883da73d1448d89f72bb09d2dc8aa6bbbb649cd,2
0822_j75_b12_n2,0822,j75_b12_n2,fit,4403847,318f02e15040124a38f4a4c3879e5950d48ad75d7b381d8cc480d899c03eaa9c,2
0822_j75_b16_n2,0822,j75_b16_n2,fit,4360826,96d0b5d5d18bf5006677532a65c9ae1751880071b46ffacb8c9020a67aca731e,2
0822_j75_b16_n5,0822,j75_b16_n5,fit,4443199,909b52585104ec46c0bd90ec36fe902bab8be36cbb6b8e4b206e93c5fd602a54,2
0822_j75_b20_n2,0822,j75_b20_n2,fit,4318042,eb2ce8795405f6209efbcf6e4694ebebde942514c60fcd75278b5cc85405ff91,2
0822_j90_b16_n2,0822,j90_b16_n2,fit,4395115,429c5d493bfb0536fb0388fe471f84695ad08e49475c2e7071fc5d43701bfefb,2
0822_q8_b16_n2,0822,q8_b16_n2,fit,4509996,19ed32f55535fb1df952600fc618b7c172c6d8abe9bf21b00d6ffdb92eb2b74a,2
0823_j50_b16_n2,0823,j50_b16_n2,fit,4170326,393d09934a5e97fedff9720bea009e2d30aa434bf5c010ac67fa880c3c2d29b8,2
0823_j75_b12_n2,0823,j75_b12_n2,fit,4271755,c2987954735d211ecdeb116a480e7531e5319ab6d556f472855f8fabe4162dd4,2
0823_j75_b16_n2,0823,j75_b16_n2,fit,4237825,dff8da14baf122bdb4ee44865318a87b42ff479fe724350ec65cfe02b7de0308,2
0823_j75_b16_n5,0823,j75_b16_n5,fit,4373739,26900cdce3b90d9074233a80c837548e5589f7742b2442338eff52f55e3aaf55,2
0823_j75_b20_n2,0823,j75_b20_n2,fit,4211738,c7ec8ae64f2d3e895843f536c1a35f66b32305a91b0eea3d7aa440581ef73063,2
0823_j90_b16_n2,0823,j90_b16_n2,fit,4299610,2a5789deb9fabebd06c09b9a9584ddb15cf6f7005fbb597859935f476ed5b34b,2
0823_q8_b16_n2,0823,q8_b16_n2,fit,4439859,18ebbd63e373786877b256f30cc751789698a5e7df8be33ba2fe4f4d960a7182,2
0824_j50_b16_n2,0824,j50_b16_n2,fit,4154250,281d3e255375ba42d83ab9ca6bcc2b11cba56131a3d6d7bebe29348997ab3a29,2
0824_j75_b12_n2,0824,j75_b12_n2,fit,4230837,b2a14399ad455e583711b594606d8702da46164036d3977ef4424a5c312d9867,2
0824_j75_b16_n2,0824,j75_b16_n2,fit,4209403,92857a55bf140aa44ef8ec1e14ca5826e794a3bf011658065f05cd175788d873,2
0824_j75_b16_n5,0824,j75_b16_n5,fit,4355670,111984ea8d3e1ecf4fa5986335f37adc09b50d7c2a432eb59d4d17d7768c1fc0,2
0824_j75_b20_n2,0824,j75_b20_n2,fit,4191396,826ed195320835e9965cf711d978c4448f5c82fa1311a8019e6c1f9bd1fbe006,2
0824_j90_b16_n2,0824,j90_b16_n2,fit,4268647,52d73b092a10cb9b816ac82fd0bd960b80c613b5fc504c5764b2ba13d658d96f,2
0824_q8_b16_n2,0824,q8_b16_n2,fit,4429568,824923c641694591cc9ff183dc2558e2753a6f7f3c1327b8b682c8ad6e381abe,2
0825_j50_b16_n2,0825,j50_b16_n2,fit,4244383,ed3a8cfcbfe2b7c3ba2aff2be3814f4fb3038614a5db396382b4ebfbfbbe5253,2
0825_j75_b12_n2,0825,j75_b12_n2,fit,4333170,d9e3c9fa30be12221fb57da26ba1e89704606bf63614b97c36cf6f0f86254773,2
0825_j75_b16_n2,0825,j75_b16_n2,fit,4312468,feb08102fa557350b9ed4fa7af52feed40f510c50bb12946f1845785aef3fa7a,2
0825_j75_b16_n5,0825,j75_b16_n5,fit,4424968,b438c08398a1f35fe055c4e5ae10023f368a1ab32088f0451c3f17e4702d87d5,2
0825_j75_b20_n2,0825,j75_b20_n2,fit,4290642,177ece7af72804e1c812fca8be28ba5e960abd8e88151bc6bcf532a9a9e4851d,2
0825_j90_b16_n2,0825,j90_b16_n2,fit,4367234,ecc2cfe024bb2b8f66c22f44fdbaebe3ebf7b15ea5b768d7e23f04a9fee07e96,2
0825_q8_b16_n2,0825,q8_b16_n2,fit,4502765,b93a44b83fc597fd58781b5ceebc25216f72daaac9b04df6603eb8f954612c8b,2
0826_j50_b16_n2,0826,j50_b16_n2,fit,4118163,b2e6ba171d13e6a80f7607ca2a3ccbfc411684e7c6655bd6c8ca3f802ab98141,2
0826_j75_b12_n2,0826,j75_b12_n2,fit,4217301,ec3586ef8c2cc6c377f073c468e1e4b078be8f28f43010bf076ec72d048928e0,2
0826_j75_b16_n2,0826,j75_b16_n2,fit,4181391,5ba88bc9abdc46ffc4e596a0bfc057b512443922d60f37ef1a42e3a792d94f28,2
0826_j75_b16_n5,0826,j75_b16_n5,fit,4324554,fca6933ede7636adf7870bf86964f3e26c73cbdfd0336af338530336ab9c137a,2
0826_j75_b20_n2,0826,j75_b20_n2,fit,4153973,98d00a732b5324b02a6822cfb3d20f2ad0a679044ca09ef1e3050077f9beceab,2
0826_j90_b16_n2,0826,j90_b16_n2,fit,4253030,f5049967883a68c86cb20024ab871d71a55a1fdde9075d63d973423e12d411e2,2
0826_q8_b16_n2,0826,q8_b16_n2,fit,4386508,4395032646c6c2729985b1c66518a5f26a419799b5bf9ce92fe40f496b1f48d3,2
0827_j50_b16_n2,0827,j50_b16_n2,fit,3803692,1b47fcc0daab358b45b97b5ca285d8036851b2002b19da3818a89627c917895f,2
0827_j75_b12_n2,0827,j75_b12_n2,fit,3969327,ee7a6847ac1d62c83c0a0ac9748eac266058b10553aa657f736117aa10d7a1fd,2
0827_j75_b16_n2,0827,j75_b16_n2,fit,3922114,65dce81922309c6147cba9c74b5595b81725829c15c29800b8af33f054228e5b,2
0827_j75_b16_n5,0827,j75_b16_n5,fit,4200973,29c0ffd9ff72dd14b71402ab1cd5dbe9223ad136698bce971a63fe33d9c4828a,2
0827_j75_b20_n2,0827,j75_b20_n2,fit,3887195,c0fa1d1d1fde58961177ced643ea57b611b45b32565f0df19d8cde97384c4dce,2
0827_j90_b16_n2,0827,j90_b16_n2,fit,4089777,6d3a194bc9386e54c06294d2a107b8a20d77fff2a712bfd623c129c41993d415,2
0827_q8_b16_n2,0827,q8_b16_n2,fit,4328018,cfd8e6248a535e8c062e8d1631b6aef78da731d04d700ab2d8164017743fbe5b,2
0828_j50_b16_n2,0828,j50_b16_n2,fit,4214858,48b21e4bc029cee63c48c8ad8d505bd72a7a844ffacd62e0977a5cc900d57a44,2
0828_j75_b12_n2,0828,j75_b12_n2,fit,4211254,42c339f8b2d6271ce0781ebfd78432bd4573f1a6509f4d1946ed100f695cb691,2
0828_j75_b16_n2,0828,j75_b16_n2,fit,4226950,82e3d44c759733e8d8dd4596a4c1588ee22b5fad6744d49ef36f099a2142407f,2
0828_j75_b16_n5,0828,j75_b16_n5,fit,4330799,62e6a5edaaff4a730f89ad57cf33e02e82a2f61c132fc060ffd09c2504ea4571,2
0828_j75_b20_n2,0828,j75_b20_n2,fit,4189569,fd9ead3510ae09a21d3162b65f857f6cec2677f9dfec458f13fc0798fcd134a4,2
0828_j90_b16_n2,0828,j90_b16_n2,fit,4262638,28961d0f59ac9251f03b86e04659c1f818ce1b45321fd3fa1852c49e9675e290,2
0828_q8_b16_n2,0828,q8_b16_n2,fit,4404839,3a6ac28ac2f505266154e97c3a7cfa2cf3154355e9d21b9f0e664a48022b1bea,2
0829_j50_b16_n2,0829,j50_b16_n2,fit,4167258,9fb5f09dc428a75fd08a09de841b01c1948daf0c384bef1495fa01376c8afa1c,3
0829_j75_b12_n2,0829,j75_b12_n2,fit,4307890,100a6619496da64c824c9a3ba25cc2ecf838eff5d88fb7e599a0a79d5888c586,3
0829_j75_b16_n2,0829,j75_b16_n2,fit,4258978,b1feada3ba157c75e8168180e6cfd7c83acd0fc54324d71ea938cefc90eb2267,3
0829_j75_b16_n5,0829,j75_b16_n5,fit,4390765,4dbb06371c5828bfafc6a5622eeb5d51b96207f32464cd4ebbad2be8afcd69b2,3
0829_j75_b20_n2,0829,j75_b20_n2,fit,4220267,f8aabb4572090bd24c0f5ea72d8be2c4099413d8aa0543bcf9d26403d5c8be67,3
0829_j90_b16_n2,0829,j90_b16_n2,fit,4328187,95285f0fb100c4cb8f0b5c0e11421b426707e01d2a33a12daa52af75be6996c2,3
0829_q8_b16_n2,0829,q8_b16_n2,fit,4459807,205d2d41b36cef0cd0adad9a70f311752b8a8b4498d59ba6fcde9a78807aaba2,3
0830_j50_b16_n2,0830,j50_b16_n2,fit,4079085,54c308238d6c3421e0a36becd65f3965485c5cc3f4bb3c18cce7804cdbb8d1e2,3
0830_j75_b12_n2,0830,j75_b12_n2,fit,4218028,41257df998fb72b8fa719823765d8737e1a11d2d3af407017828dfe73f4f8c3c,3
0830_j75_b16_n2,0830,j75_b16_n2,fit,4167155,a32461d3bc9da97f633237177395a94a79e81dfd3bb811a90f1d15c7de113270,3
0830_j75_b16_n5,0830,j75_b16_n5,fit,4308089,59e433394f7f9452645ed570e9a115f7e2c3519a7df38fd2bdf2ea065a1bb687,3
0830_j75_b20_n2,0830,j75_b20_n2,fit,4122559,698e8189d0c925acb2099418cf42a5c01e55cf191c11d4c1c3a04cd24cd0237c,3
0830_j90_b16_n2,0830,j90_b16_n2,fit,4235410,8d36c9e0c3da09008910e8723bf30135874cf9e2fde67820dfd53dd7765ab6e4,3
0830_q8_b16_n2,0830,q8_b16_n2,fit,4386026,54807db2ae8658fab09b4fb3101b94c64a996e356f656a20f130d2a1acb2d83c,3
0831_j50_b16_n2,0831,j50_b16_n2,fit,3970791,cfdf1a53cbeb5cd0d526ad273bc45f7d6fa1486d2c31f81a750990f0ecdb0023,3
