source_id,filename,member_path,file_byte_count,file_sha256,decoded_rgb_sha256,width,height,crop_left,crop_top,crop_extent,role
img_2400x2400_3x8bit_C00C00_RGB_chairs,img_2400x2400_3x8bit_C00C00_RGB_chairs.png,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_chairs.png,3187531,afbc78ac56e7b0869c15d7dfc9afd5ed0c7990609bfffc52b27450c524f1f854,d53f3952835d8f5dca26253021bcc26c30d9a83f109c26d239c37be4dc679cd4,2400,2400,912,912,576,sealed_independent_test
img_2400x2400_3x8bit_C00C00_RGB_clips,img_2400x2400_3x8bit_C00C00_RGB_clips.png,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_clips.png,6954850,4e467161dafd0b238f945438f20c771843b0a88bbcb0585b3e2cc63c19d14246,5546573bb5484d3ac7e975fed6c35daafe3f4be43277fafa9e0439ed777790b0,2400,2400,912,912,576,sealed_independent_test
img_2400x2400_3x8bit_C00C00_RGB_coins,img_2400x2400_3x8bit_C00C00_RGB_coins.png,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_coins.png,6793873,96153279030bf9b788b069f90cc72fa9a3b0e703035439a8e35b6521768d13bd,666ef3e190742c3a224a813c1ba7aebef8771d43a9f87a392ca1d41a59f32c4d,2400,2400,912,912,576,sealed_independent_test
img_2400x2400_3x8bit_C00C00_RGB_cushions,img_2400x2400_3x8bit_C00C00_RGB_cushions.png,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_cushions.png,3985327,56dbf477f95dc97346cd68f7d1b215fd4fd879707c6b2a3464b27f9b6e24f629,d4c9a7f624d7f9609ee46507abb8143e1d05a5264462d089d204685fac17f92d,2400,2400,912,912,576,sealed_independent_test
img_2400x2400_3x8bit_C00C00_RGB_ducks,img_2400x2400_3x8bit_C00C00_RGB_ducks.png,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_ducks.png,3664248,c952d7be1c095162dddca48ea4d27e097360a06104fb5a7c8186b20a1cc5598b,48d4ceac718ec52d52b095d6d1b82bf0f84d19e104c88d030a1cb04f50ce5588,2400,2400,912,912,576,sealed_independent_test
img_2400x2400_3x8bit_C00C00_RGB_fence,img_2400x2400_3x8bit_C00C00_RGB_fence.png,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_fence.png,3505122,e0c483dd92d931f0351d0162a5e6ecabaf8ba8499d1413a635b673bac0ea0df4,84c6d6db162247c3fdbaeebe2ca6c0c760be1e344b399ccd313ab8f23fcb1428,2400,2400,912,912,576,sealed_independent_test
img_2400x2400_3x8bit_C00C00_RGB_flowers,img_2400x2400_3x8bit_C00C00_RGB_flowers.png,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_flowers.png,5944247,9b22ef4c5e1c0a4ccf99e098b910b9514530a5032918bbb72100dae98753c4f4,d7e3165675c30205eaa7602ecb28b226ad4d9ef2d2758993c74dc19bb737313b,2400,2400,912,912,576,sealed_independent_test
img_2400x2400_3x8bit_C00C00_RGB_garden_table,img_2400x2400_3x8bit_C00C00_RGB_garden_table.png,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_garden_table.png,6743577,53d8bf47982b46b53e5a0deb859572f7dcad96fc9b1a8fc91f96564811c15ca8,2f5835dfef983a35e06ede888405fc316991358aeed311e1efbbabc7071de69e,2400,2400,912,912,576,sealed_independent_test
img_2400x2400_3x8bit_C00C00_RGB_guitar_bridge,img_2400x2400_3x8bit_C00C00_RGB_guitar_bridge.png,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_guitar_bridge.png,5546508,7b7b2f3905ed55b360e07f53a92bea5a244a2043ef80e27fd02207fe6e3e8b4a,036a1aa4a9ddecd593d4bb1395ff7eaec5c8a48be1d61042d1225db7230d9b78,2400,2400,912,912,576,sealed_independent_test
img_2400x2400_3x8bit_C00C00_RGB_guitar_fret,img_2400x2400_3x8bit_C00C00_RGB_guitar_fret.png,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_guitar_fret.png,4356755,589a735b48e23881f1e4244171d8c1eaed25516b95e598a4834f47ad9bdda099,c6a503d73e79f995d4c117d5324c02ccbf06dd3a04d05a82eeb70bc152ae87bb,2400,2400,912,912,576,sealed_independent_test
img_2400x2400_3x8bit_C00C00_RGB_guitar_head,img_2400x2400_3x8bit_C00C00_RGB_guitar_head.png,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_guitar_head.png,5886547,a1f166eda98c4e6d6f3502d2325ec7a0a4e1a056eef456c948f3f9997855efbd,4b81ca80527a90830cdc1f241967e8f3c769e3bc589cf4bf0e6fac217f6ed1cf,2400,2400,912,912,576,sealed_independent_test
img_2400x2400_3x8bit_C00C00_RGB_keyboard_a,img_2400x2400_3x8bit_C00C00_RGB_keyboard_a.png,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_keyboard_a.png,5431203,9998d911dd7fb716d03df7baada1676ec41df81118f6c0ea592cf0e1653f5be7,43cd1bc6dd6707da5e9f136f9ecd78713f2d6d3145afc6f652cfdfcc4c9c61fa,2400,2400,912,912,576,sealed_independent_test
img_2400x2400_3x8bit_C00C00_RGB_keyboard_b,img_2400x2400_3x8bit_C00C00_RGB_keyboard_b.png,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_keyboard_b.png,5279940,880a7f8c7c2e045cab02bc69be86ea377cf34cee3ac4388037cc513d9df5675c,4da9771307217b0b1c2fc9fd58fee507c8a110cc9f0ef7e5f83ecf859e638a2a,2400,2400,912,912,576,sealed_independent_test
img_2400x2400_3x8bit_C00C00_RGB_lion,img_2400x2400_3x8bit_C00C00_RGB_lion.png,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_lion.png,4089851,779353cfec3088829705976871d0e16f1965081f9b48c280d25c561d8ef974b0,aa2c1ab08d018165f0db0b685db5f8121c1f9e7b52ff3c89b69e734360597c66,2400,2400,912,912,576,sealed_independent_test
img_2400x2400_3x8bit_C00C00_RGB_multimeter,img_2400x2400_3x8bit_C00C00_RGB_multimeter.png,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_multimeter.png,6098116,e928641fcbbda4b345cd9cde04540811988b7883aa1b6074a788e83d65ac09bb,fae42694b74440ca474c58648c7fb1924d9e66cb2f82b26b7d9727223516d1fc,2400,2400,912,912,576,sealed_independent_test
img_2400x2400_3x8bit_C00C00_RGB_pencils_a,img_2400x2400_3x8bit_C00C00_RGB_pencils_a.png,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_pencils_a.png,3522576,77042a131d9e4c1fef06038cd548786cfd4995daebf30125e2d630676568454e,0fc693ff0f690ced7a7d80dc67dd5735c9880967e205466cbea61ee2156bdd57,2400,2400,912,912,576,sealed_independent_test
img_2400x2400_3x8bit_C00C00_RGB_pencils_b,img_2400x2400_3x8bit_C00C00_RGB_pencils_b.png,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_pencils_b.png,3463397,36e0bfd1cd7e4bd3f15c0a8b15d084f6d46cae581bb8232f322cdb54f27b2aee,130fe6b21d6cce0d79696b57350dddbb94a8749314a2301e8c17727b7f70c86d,2400,2400,912,912,576,sealed_independent_test
img_2400x2400_3x8bit_C00C00_RGB_pillar,img_2400x2400_3x8bit_C00C00_RGB_pillar.png,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_pillar.png,4452057,bf3b8a0d4b9999c3831ca202ae89098c4eb73c963e3a9fdf2cdb5dec619ff835,c575dc8870317a4987ae8092604eb9e7a68f25e882f2e9815dc9562be1f64f79,2400,2400,912,912,576,sealed_independent_test
img_2400x2400_3x8bit_C00C00_RGB_plastic,img_2400x2400_3x8bit_C00C00_RGB_plastic.png,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_plastic.png,5028359,9387ba0fba0adfed92ba40ff2fbfb950205d21de64ce887f1f591848178319b7,2267084ced2556b56d529a84d93f33af807420a281443b4ddbe54cdf93b652a5,2400,2400,912,912,576,sealed_independent_test
img_2400x2400_3x8bit_C00C00_RGB_roof,img_2400x2400_3x8bit_C00C00_RGB_roof.png,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_roof.png,3849333,58a69f897e6480f5c98a5ad4b94da9d09b5fcd42a0399db9fd87147a4f027d38,40723781103bff57d5248e7106f2ace9a0e61d09ea9869f2c2db4bec453d3ca3,2400,2400,912,912,576,sealed_independent_test
img_2400x2400_3x8bit_C00C00_RGB_scarf,img_2400x2400_3x8bit_C00C00_RGB_scarf.png,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_scarf.png,6919806,80f6fc4c485f8ae7afdfc39db42616a302ace84f9226a2d0ca897b5e2b3e0feb,0971cf1aee5fafc643b17383fc63980577fc44212e1ad419a8ea0cbb4e6cb74b,2400,2400,912,912,576,sealed_independent_test
img_2400x2400_3x8bit_C00C00_RGB_screws,img_2400x2400_3x8bit_C00C00_RGB_screws.png,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_screws.png,7411335,05c97cc4fd0f1fa32559fa09c76b10b579c059deaf4d80d69515edcd9180488e,47b18abfbcb32ef6787e13242b0e2604ba0de4a4badbfc9b7592f08b26120d45,2400,2400,912,912,576,sealed_independent_test
img_2400x2400_3x8bit_C00C00_RGB_snails,img_2400x2400_3x8bit_C00C00_RGB_snails.png,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_snails.png,4210140,b34b7e171823530c4c6ca920a4b87547fb9720bdf07559e4f73ffaa599adc135,1f80cc7e04fd3ac68e53ad8595c86174d323178ac507ace989115bd9ae80436d,2400,2400,912,912,576,sealed_independent_test
img_2400x2400_3x8bit_C00C00_RGB_socks,img_2400x2400_3x8bit_C00C00_RGB_socks.png,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_socks.png,8202455,9b6ccbdcb27fc1079d9c101601ee7e0646ce1dafc840a91e51779165542526e2,49af9edd4c8f93ccaa76ae100b0d6e8a6313ac04211d87481b44653ea0a16f45,2400,2400,912,912,576,sealed_independent_test
img_2400x2400_3x8bit_C00C00_RGB_sweets,img_2400x2400_3x8bit_C00C00_RGB_sweets.png,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_sweets.png,5018551,f98caa2aedb924b1b7f41cc68ef9326a241b2b3e6d35d6bcaf7dc9b9a15fd847,e88bff63fce48ba163fd54c7c35282469c499374c4f886f8450df4f4bc4e458a,2400,2400,912,912,576,sealed_independent_test
img_2400x2400_3x8bit_C00C00_RGB_tomatoes_a,img_2400x2400_3x8bit_C00C00_RGB_tomatoes_a.png,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_tomatoes_a.png,4310245,051fc0b0279c073826ff912aa851ce8b20fc06db9061dbf26b1c8701d6b94302,e1fc789fb2087e06fde8f89007a93dcc41fa4c5aa2689336be6ff77cb905b204,2400,2400,912,912,576,sealed_independent_test
img_2400x2400_3x8bit_C00C00_RGB_tomatoes_b,img_2400x2400_3x8bit_C00C00_RGB_tomatoes_b.png,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_tomatoes_b.png,3908390,1fc6f9f15bbb2aaebbdaab4805cc8fa955c555d7e3819ed85dd068ca6da7c519,55f6603c58f5f81da2dff1134098839b14ef3b6f9f7e37d968e11e4661ed254f,2400,2400,912,912,576,sealed_independent_test
img_2400x2400_3x8bit_C00C00_RGB_tools_a,img_2400x2400_3x8bit_C00C00_RGB_tools_a.png,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_tools_a.png,5949506,207df429ece3ae97bf1893a5606ca6c86590e44518772d974c2e2520fc232e10,0b4de0072c0d46d01915be208213256fad4c3517f4bcb3e173967a602162ace3,2400,2400,912,912,576,sealed_independent_test
img_2400x2400_3x8bit_C00C00_RGB_tools_b,img_2400x2400_3x8bit_C00C00_RGB_tools_b.png,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_tools_b.png,5668212,4e2cd83e83876e23c4463711938a55105865cb114544056cdd316eaba36bbcd3,a856128e3b9c92f72e39a71515c9579364e4f235918bba7d8c76a048d1e61ea6,2400,2400,912,912,576,sealed_independent_test
img_2400x2400_3x8bit_C00C00_RGB_wood_game,img_2400x2400_3x8bit_C00C00_RGB_wood_game.png,SAMPLING/8BIT/RGB/2400x2400/C00C00/img_2400x2400_3x8bit_C00C00_RGB_wood_game.png,3314711,7b4200320c730f49b545320d0aed9411cc129dc0d3a3f1c9b04105cecd26bf0e,749e4b8c18921b1acceb252a14b3272db9f6d1b059e6c0468c70f6297285da59,2400,2400,912,912,576,sealed_independent_test
